trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.8832000000000019}",20,0,-142.94241589333745,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
43,False,"{'a': 0.3, 'e': 0.8828000000000019}",25,0,-161.57130366523742,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.3, 'e': 0.882400000000002}",20,0,-82.89771447959254,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.882000000000002}",35,0,-141.3206440452909,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.881600000000002}",20,0,-170.30526132696335,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
47,False,"{'a': 0.3, 'e': 0.8812000000000021}",20,0,-49.71693228320731,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.8808000000000021}",25,0,-172.46556978568256,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
49,False,"{'a': 0.3, 'e': 0.8804000000000022}",20,0,-39.48843798561066,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.8800000000000022}",25,12,-84.19007854621066,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
51,False,"{'a': 0.3, 'e': 0.8796000000000023}",20,0,-63.713559571049075,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.8792000000000023}",20,9,-62.98074103872666,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
53,False,"{'a': 0.3, 'e': 0.8788000000000024}",25,0,-92.15468116398337,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.3, 'e': 0.8784000000000024}",20,0,-79.70624358574055,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.8780000000000024}",25,0,-81.12215829585185,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
56,False,"{'a': 0.3, 'e': 0.8776000000000025}",30,0,-122.87696094513709,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.8772000000000025}",25,0,-82.66520401054171,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.8768000000000026}",25,0,-156.64091924444534,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",1
59,False,"{'a': 0.3, 'e': 0.8764000000000026}",20,0,-65.19147351972276,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
60,False,"{'a': 0.3, 'e': 0.8760000000000027}",20,0,-41.8238607958957,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.8756000000000027}",20,0,-55.53970276610182,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.8752000000000028}",20,0,-109.62835950926042,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.3, 'e': 0.8748000000000028}",30,0,-146.3175730299467,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.8744000000000028}",20,0,-62.56072959545295,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.3, 'e': 0.8740000000000029}",25,0,-77.714608640491,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.3, 'e': 0.8736000000000029}",20,0,-118.90925264706686,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.3, 'e': 0.873200000000003}",20,8,-37.98163736263243,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.872800000000003}",30,0,-127.81573330846378,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
69,False,"{'a': 0.3, 'e': 0.8724000000000031}",20,0,-121.49020861170732,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
70,False,"{'a': 0.3, 'e': 0.8720000000000031}",25,13,-16.19986515611816,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.8716000000000032}",35,0,-49.63454435994665,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.8712000000000032}",25,0,-43.44172817075313,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.8708000000000032}",30,0,-174.27664817142193,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
74,False,"{'a': 0.3, 'e': 0.8704000000000033}",25,0,-117.77873090244653,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.3, 'e': 0.8700000000000033}",25,0,-173.27935853047788,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
76,False,"{'a': 0.3, 'e': 0.8696000000000034}",35,0,-139.27124805255187,"{0: 19, 1: 3, 2: 11, 3: 2, 4: 0}",0
77,False,"{'a': 0.3, 'e': 0.8692000000000034}",25,0,-139.55134588692906,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
78,False,"{'a': 0.3, 'e': 0.8688000000000035}",20,0,-64.32799171863688,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.3, 'e': 0.8684000000000035}",30,10,-139.67318203560183,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",1
80,False,"{'a': 0.3, 'e': 0.8680000000000035}",25,0,-105.55502312258875,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
81,False,"{'a': 0.3, 'e': 0.8676000000000036}",20,0,-73.61242734891705,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.3, 'e': 0.8672000000000036}",25,8,-38.279540672990535,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.8668000000000037}",25,14,-56.31325047708109,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.3, 'e': 0.8664000000000037}",20,0,-105.6137789700293,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.3, 'e': 0.8660000000000038}",20,0,-156.2499870745503,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
86,False,"{'a': 0.3, 'e': 0.8656000000000038}",25,0,-163.6241782435373,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
87,False,"{'a': 0.3, 'e': 0.8652000000000039}",20,2,-113.84788613345293,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 1}",1
88,False,"{'a': 0.3, 'e': 0.8648000000000039}",25,0,-116.74064626208897,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.3, 'e': 0.8644000000000039}",25,0,-112.36938218418013,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
90,False,"{'a': 0.3, 'e': 0.864000000000004}",20,6,-124.46718462678598,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
91,False,"{'a': 0.3, 'e': 0.863600000000004}",25,0,-69.33352980091249,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
92,False,"{'a': 0.3, 'e': 0.8632000000000041}",25,9,-22.469596267481496,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.3, 'e': 0.8628000000000041}",20,0,-33.44988062846214,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.8624000000000042}",25,0,-112.74626890651875,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.3, 'e': 0.8620000000000042}",20,0,-89.67832542162219,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.3, 'e': 0.8616000000000043}",25,0,-149.0954524352159,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
97,False,"{'a': 0.3, 'e': 0.8612000000000043}",20,0,-85.25325964915871,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.8608000000000043}",30,0,-108.6131549648787,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.3, 'e': 0.8604000000000044}",20,0,-184.06354719014675,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
100,False,"{'a': 0.3, 'e': 0.8600000000000044}",20,7,-19.43173500098584,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.8596000000000045}",20,0,-74.79933581226797,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.3, 'e': 0.8592000000000045}",25,0,-49.97078005742056,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.8588000000000046}",25,0,-59.51287378346267,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
104,False,"{'a': 0.3, 'e': 0.8584000000000046}",25,0,-97.70693025411094,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
105,False,"{'a': 0.3, 'e': 0.8580000000000046}",20,0,-119.70635407238012,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
106,False,"{'a': 0.3, 'e': 0.8576000000000047}",25,0,-92.16136823268465,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.3, 'e': 0.8572000000000047}",20,0,-165.87939922941135,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
108,False,"{'a': 0.3, 'e': 0.8568000000000048}",30,0,-64.92045791652451,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
109,False,"{'a': 0.3, 'e': 0.8564000000000048}",30,14,2.469222480392459,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.8560000000000049}",30,0,-34.53382042718604,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.3, 'e': 0.8556000000000049}",20,0,-147.26125773589015,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
112,False,"{'a': 0.3, 'e': 0.855200000000005}",20,0,-5.551514639215849,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.3, 'e': 0.854800000000005}",25,0,-114.27455348188171,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
114,False,"{'a': 0.3, 'e': 0.854400000000005}",20,0,-98.22357662508102,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
115,False,"{'a': 0.3, 'e': 0.8540000000000051}",20,0,-162.85959513659122,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
116,False,"{'a': 0.3, 'e': 0.8536000000000051}",20,0,-104.54854660840087,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
117,False,"{'a': 0.3, 'e': 0.8532000000000052}",25,0,-126.86058182337565,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
118,False,"{'a': 0.3, 'e': 0.8528000000000052}",25,0,-131.15477968424466,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
119,False,"{'a': 0.3, 'e': 0.8524000000000053}",25,0,-60.76094492426788,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.3, 'e': 0.8520000000000053}",20,0,-58.96527228290938,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
121,False,"{'a': 0.3, 'e': 0.8516000000000054}",25,0,-74.11929027576221,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.3, 'e': 0.8512000000000054}",30,21,-15.514326038868344,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.8508000000000054}",30,0,-55.344858967199684,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.8504000000000055}",20,0,-42.84295438327832,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
125,False,"{'a': 0.3, 'e': 0.8500000000000055}",35,0,-114.99733376212703,"{0: 25, 1: 5, 2: 2, 3: 1, 4: 2}",0
126,False,"{'a': 0.3, 'e': 0.8496000000000056}",25,11,-66.40522600153567,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
127,False,"{'a': 0.3, 'e': 0.8492000000000056}",20,0,-66.26627696235445,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.8488000000000057}",30,0,-66.16988569694311,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.3, 'e': 0.8484000000000057}",20,0,-144.38259659868532,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
130,False,"{'a': 0.3, 'e': 0.8480000000000057}",20,0,-87.76736044277797,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.3, 'e': 0.8476000000000058}",30,0,-43.69586239839726,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
132,False,"{'a': 0.3, 'e': 0.8472000000000058}",20,0,-82.81466324244838,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
133,False,"{'a': 0.3, 'e': 0.8468000000000059}",25,0,-104.21940317331749,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
134,False,"{'a': 0.3, 'e': 0.8464000000000059}",20,0,-137.7106056627263,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
135,False,"{'a': 0.3, 'e': 0.846000000000006}",20,8,-42.56413626102145,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.3, 'e': 0.845600000000006}",30,12,-21.413519834827465,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.8452000000000061}",20,0,-172.68059625664822,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
